,Id,Reviews,UserName
32,133,"['Thanx a lot OPPO Mobile Pakistan for quality product which i ordered & Daraz for in time delivery.', 'I recently received my parcel from the official Oppo store, and while the phone itself is excellent and original, I was disappointed with the packaging. The box arrived damaged, and there were no bubble wrap or proper protection inside. However, I must commend the seller for their polite and reasonable behavior throughout the process. I hope they improve their packaging to ensure better protection for future shipments. #OnlineShopping #OppoStore #CustomerExperience', 'Good Service.. Mobile recieved on time 👍']","['inam U.', 'Saima N.', '3***2']"
33,134,"['Excellent product, genuine and original product, PTA approved. No Patched mobile. Seller sounds a very professional and committed in such deals. strongly recommended and feel free to buy this product. Thank you Daraz and Grateful to you Dear Seller...', '#11.11 received as per specs mentioned. highly recommended.', 'Box was sealed and came with all accessories. The seller is recommended for geniune product.']","['Muhammad A.', 'Asif M.', 'Shaan U.']"
34,135,[],[]
35,136,"['Thanks for Daraz & Tecno Flagship store Mobile boat acha hai or pin packed hai deliver bhi 1 din hogya. I am very happy once againThanks for Daraz & Tecno Flagship store.', ""This is my first experience buying a phone from Daraz. it's good for me. The phone is ok! non-repack/non-active. I am 100% satisfied for daraz only for this product only! Tecno 20 camon"", 'thank you so much Tecno Company Zaberdast mobile hy aaj hi lunching ceremony thi or aaj hi mil gaya once again thank you so much Tecno']","['M. F.', 'A***.', 'Z***.']"
36,137,"[""well packed, buht hi acha original mobile,, very fast delivery within just 2 days. good seller, I'm very happy and satisfied, thanks"", 'mobile is 100% genuine....😍 sealed pack.... seller is so much co operative... 🥰 price is very low than other sellers or market....👍 recommended to all....👍👍 thanks 💚', 'Great seller, Awesome, thank you so much.recommended seller']","['Amjid H.', 'Usman A.', '0***8']"
37,138,"['i loved the phone, its orignal n sealed brand new phone. Thank you seller.', '#11.11 excellent quality', 'mujhe mbl receive howa hai good 👍 in time and same Samsung product Jo market mn 40000 mn mil rhi this wahine daraz pe 32500 mn Melissa hai']","['3***5', 'M***.', 'Hassan A.']"
38,139,"['#11.11 Mobile without mobile warranty card, charger but seems good, packing was not good delivery is pathatic', ""Unbelievable! phone is 100 percent original and value for money, don't know how seller managed to offer the phone in such a cheap price, moreover its officially PTA approved. seller deserves 10 stars"", 'Genuine samsung mobile, well packed, pta approved. I like it. Very beautiful mobile and hope it will be long lasting experience. #11.11']","['S***.', 'Muhammad B.', 'Musadique S.']"
39,140,"['This is really amazing, such a beautiful colour, very well packed, received on the very next day of order placement, great experience,', 'nice set and same colour as orderd. premium touch feel. all good and packing was very secure. nice', 'I got this mobile on time and it is a good mobile, the specification is also very good and I am very satisfied with the seller.']","['Zaheer H.', '*******413', 'AQeel A.']"
40,141,"['Great experience buying a mobile phone from Daraz. The assurity that the product can be returned incase if genuine product is not received compelled me to buy from Daraz rather than going to the offline market. Received the product within 24 Hours. Overall good experience and received a genuine product 👍', ""#11.11 Picked up the Redmi 12C during Daraz's 11.11 sale, and it's been a game-changer. The sleek design, vibrant display, and powerful performance make it a budget-friendly gem. Snagged it at a fantastic discount, adding even more value to this purchase. The battery life is impressive, and the camera captures stunning shots. MIUI's user-friendly interface and customization options seal the deal. The Redmi 12C is a top choice for a reliable, feature-rich, and affordable smartphone. #11.11 #daraz"", '#11.11 Delivery bohat late hoi Baki product bohat achi ha.same received as shown in picture.thanks seller thanks daraz.']","['Abrar A.', 'Mohammad A.', 'Hasnain A.']"
41,142,"['I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰', 'Great Experience as usual and I have purchased many mobiles from DARAZ but this time get maximum discount in 11/11 Sales on Note 30 pro', 'Nice Mobile at this price with special specs. Delivered late but overall services by daraz are good.. Thanks']","['Snake E.', 'israr A.', 'Mrs A.']"
